번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
117,동물미용업,02_03_11_P,5530000,574000004920210048,2021-05-24,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 만세구 우정읍 조암리 ***-*,경기도 화성시 만세구 우정읍 조암동로**번길 **,18565,은나라,2022-04-28 18:09:32,I,2026-02-04 01:35:23,,184389.904121354,398451.504556945,동물미용업,동물미용업(일반),000,0,,은나라_경기도화성시만세구우정읍조암리***-*
202,동물미용업,02_03_11_P,5530000,577000004920210047,2021-05-20,,3,폐업,2,폐업,2022-01-25,,,,031-374-1533,0,,경기도 화성시 동탄구 청계동  *** 시범 반도유보라 아이비파크*.*,"경기도 화성시 동탄구 동탄대로시범길 ***, 카림애비뉴 ****~****호 (청계동, 시범 반도유보라 아이비파크*.*)",18476,살롱드모나미펫,2022-04-28 18:09:32,I,2026-02-04 01:35:23,,210075.319585403,410817.645865226,동물미용업,동물미용업(일반),L00,0,,살롱드모나미펫_경기도화성시동탄구청계동***시범반도유보라아이비파크*.*
9,동물미용업,02_03_11_P,5530000,577000004920210045,2021-05-12,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 동탄구 반송동  ***-**,"경기도 화성시 동탄구 노작로*길 *-*, *층 (반송동)",18459,비바체,2022-04-28 18:09:32,I,2026-02-04 01:35:23,,207085.486992673,410428.670395277,동물미용업,동물미용업(일반),000,0,,비바체_경기도화성시동탄구반송동***-**
340,동물미용업,02_03_11_P,3940000,396010004920210009,2021-05-10,,1,영업/정상,0,정상,,,,,,0,,경기도 고양시 일산동구 정발산동 ****-* *층 좌측,"경기도 고양시 일산동구 산두로 ***-**, *층 좌측호 (정발산동)",10357,산두로펫살롱,2026-02-06 16:13:26,U,2026-02-08 02:40:00,,180353.463960297,463769.481694905,동물미용업,동물미용업(일반),000,0,,산두로펫살롱_경기도고양시일산동구정발산동****-**층좌측
116,동물미용업,02_03_11_P,5530000,574000004920210041,2021-04-30,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 만세구 새솔동 **-*,"경기도 화성시 만세구 노들길 *-**, 엠폴리스*** ***호 (새솔동)",18242,주시앙,2022-04-28 18:09:31,I,2026-02-04 01:35:23,,183920.356849265,419827.905437961,동물미용업,동물미용업(일반),000,0,,주시앙_경기도화성시만세구새솔동**-*
115,동물미용업,02_03_11_P,5530000,574000004920210039,2021-04-29,,4,취소/말소/만료/정지/중지,4,말소,2025-03-24,,,,,0,,경기도 화성시 만세구 송산면 삼존리 ***-*,경기도 화성시 만세구 송산면 삼존서길**번길 **-**,18549,덕스궁,2025-03-24 09:42:47,I,2026-02-04 01:35:23,,178152.977693139,413047.262452893,동물미용업,동물미용업(일반),000,0,,덕스궁_경기도화성시만세구송산면삼존리***-*
269,동물미용업,02_03_11_P,5530000,576000004920210037,2021-04-23,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 병점구 반월동  ***-* 제일프라자 ***호,"경기도 화성시 병점구 영통로**번길 *, 제일프라자 ***호 (반월동)",18377,젤리그루밍,2022-04-28 18:09:31,I,2026-02-04 01:35:23,,205345.347854163,414845.926128951,동물미용업,동물미용업(일반),000,0,,젤리그루밍_경기도화성시병점구반월동***-*제일프라자***호
268,동물미용업,02_03_11_P,5530000,576000004920210034,2021-04-14,,1,영업/정상,0,정상,,,,,031-231-2859,0,,경기도 화성시 병점구 안녕동  **-**,"경기도 화성시 병점구 용주로 **, *층 (안녕동)",18362,애견샵 어린왕자,2022-04-28 18:09:31,I,2026-02-04 01:35:23,,201013.070020827,411540.166330803,동물미용업,동물미용업(일반),000,0,,애견샵어린왕자_경기도화성시병점구안녕동**-**
412,동물미용업,02_03_11_P,3510500,351050004920210007,2021-04-06,,1,영업/정상,0,정상,,,,,,0,,인천광역시 미추홀구 관교동 ***,"인천광역시 미추홀구 주승로***번길 **-**, *층 (관교동)",22240,"우연히, 봄",2026-02-19 14:04:47,U,2026-02-21 02:40:00,,172647.819507739,438220.660738591,동물미용업,동물미용업(일반),000,0,,"우연히,봄_인천광역시미추홀구관교동***"
468,동물미용업,02_03_11_P,3990000,399000004920210017,2021-04-05,,1,영업/정상,0,정상,,,,,,0,,경기도 남양주시 다산동 ****-* 다산 헤리움 그랑비스타 *차 ***호,"경기도 남양주시 다산중앙로***번길 **-**, 다산 헤리움 그랑비스타 *차 ***호 (다산동)",12248,몽띠끄,2026-02-26 14:17:00,U,2026-02-28 02:40:00,,213377.735664805,458090.648881496,동물미용업,동물미용업(일반),000,0,,몽띠끄_경기도남양주시다산동****-*다산헤리움그랑비스타*차***호
