번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),용도지역,건물형태구분명,객실수,주택면적,방면적비율,소화기개수,단독경보형감지기개수,자동확산소화기대수,휴대용비상조명등대수,피난구유도등개수,유도표지개수,완강기대수,가스누설경보기대수,일산화탄소감지기대수,조식제공여부,오수처리시설용량,화장실수,화장실종류명,Unnamed: 46,record_key
471,농어촌민박업,03_11_08_P,5220000,AGCV052200002026000003,2026-02-13,,1,영업/정상,1,정상,,,,,,384.0,,,경상북도 칠곡군 가산면 학상4길 50-15,39849.0,가인민박,2026-02-23 16:16:27,I,2026-02-25 00:20:01,,335004.019658644,289145.901405443,계획관리지역,,2,95.0,95.0,2,5,1,2,0,1,0,0,1,,0.0,1,,,가인민박_
412,농어촌민박업,03_11_08_P,6510000,AGCV065100002026000060,2026-02-13,,1,영업/정상,1,정상,,,,,,,695-903,제주특별자치도 제주시 애월읍 곽지리 1565-13,제주특별자치도 제주시 애월읍 곽지1길 34,63034.0,애월주택,2026-02-13 11:14:41,I,2026-02-15 00:20:02,,135212.335956858,-5033.89555207223,,,4,199.58,0.0,8,7,3,4,0,2,0,3,4,,0.0,0,,,애월주택_제주특별자치도제주시애월읍곽지리1565-13
387,농어촌민박업,03_11_08_P,3570000,AGCV035700002026000012,2026-02-12,,1,영업/정상,1,정상,,,,,,265.0,417-832,인천광역시 강화군 불은면 두운리 232-3,인천광역시 강화군 불은면 강화동로549번길 22,23046.0,프라이빗펜션,2026-02-12 11:00:27,I,2026-02-14 00:20:02,,153847.745952224,464862.239717769,계획관리지역,,2,183.24,0.0,3,4,3,2,2,0,0,0,3,,8.0,5,,,프라이빗펜션_인천광역시강화군불은면두운리232-3
388,농어촌민박업,03_11_08_P,5020000,AGCV050200002026000011,2026-02-12,,1,영업/정상,1,정상,,,,,,37.36,790-801,경상북도 포항시 남구 구룡포읍 구룡포리 298-2,경상북도 포항시 남구 구룡포읍 용주로3번길 10-7,37931.0,정박집,2026-02-12 11:06:30,I,2026-02-14 00:20:02,,431058.282099864,279766.524613303,도시지역 제2종 일반주거지역,,1,37.36,10.0,1,3,1,1,0,1,0,1,1,,0.0,1,,,정박집_경상북도포항시남구구룡포읍구룡포리298-2
386,농어촌민박업,03_11_08_P,4990000,AGCV049900002026000003,2026-02-12,,1,영업/정상,1,정상,,,,,,922.0,,,전라남도 완도군 금일읍 동송2길 95-1,59142.0,금일둘레길,2026-02-12 17:53:33,I,2026-02-14 00:20:02,,204990.920960369,94816.6705626618,생산관리지역,,1,201.48,135.0,2,2,1,1,0,1,0,0,0,,0.0,2,,,금일둘레길_
384,농어촌민박업,03_11_08_P,5050000,AGCV050500002026000029,2026-02-12,,1,영업/정상,1,정상,,,,,,643.0,780-410,경상북도 경주시 마동 766-3,경상북도 경주시 광산길 153-27 (마동),38127.0,경주 휴펜션,2026-02-12 15:51:48,I,2026-02-14 00:20:02,,408841.163737555,255522.997276504,생산녹지,,1,75.14,75.14,2,4,1,3,0,1,0,1,1,,0.0,2,,,경주휴펜션_경상북도경주시마동766-3
383,농어촌민박업,03_11_08_P,4201000,AGCV042010002026000005,2026-02-12,,1,영업/정상,1,정상,,,,,,597.0,,강원특별자치도 강릉시 사천면 산대월리 152-5,강원특별자치도 강릉시 사천면 순포안길 26,25441.0,강릉오성애견펜션,2026-02-12 16:50:16,I,2026-02-14 00:20:02,,365790.61696079,481592.917050795,계획관리지역,,5,226.65,226.65,7,5,1,5,0,5,0,0,1,,0.0,6,,,강릉오성애견펜션_강원특별자치도강릉시사천면산대월리152-5
381,농어촌민박업,03_11_08_P,5710000,AGCV057100002026000005,2026-02-12,,1,영업/정상,1,정상,,,,,,578.0,360-831,충청북도 청주시 상당구 문의면 남계리 201-3,충청북도 청주시 상당구 문의면 남계길 71-38,28207.0,청남대 라온팜스테이,2026-02-12 17:08:58,I,2026-02-14 00:20:02,,244232.784300276,336468.055783337,생산관리지역,,1,83.69,0.0,3,3,1,3,0,2,0,1,0,,3.0,2,,,청남대라온팜스테이_충청북도청주시상당구문의면남계리201-3
380,농어촌민박업,03_11_08_P,6510000,AGCV065100002026000061,2026-02-12,,1,영업/정상,1,정상,,,,,,424.0,,,제주특별자치도 제주시 한경면 고산로 19,63008.0,요이땅삐삐 스튜디오,2026-02-12 17:42:02,I,2026-02-14 00:20:02,,123498.723017924,-21178.3678151691,,,1,74.0,0.0,2,3,1,1,0,2,0,1,1,,0.0,0,,,요이땅삐삐스튜디오_
379,농어촌민박업,03_11_08_P,6510000,AGCV065100002026000059,2026-02-12,,1,영업/정상,1,정상,,,,,,516.6,,,제주특별자치도 제주시 조천읍 함덕로 4,63333.0,아도록 함덕,2026-02-12 18:01:24,I,2026-02-14 00:20:02,,169654.067449866,4936.06526595498,제2종일반주거지역,,2,97.98,0.0,5,4,2,5,0,1,0,1,1,,0.0,2,,,아도록함덕_
