번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),법인구분명,구분명,Unnamed: 30,record_key
107,유료직업소개소,11_50_02_P,5530000,2022553038814500004,2022-03-04,,1,영업/정상,20,영업중,,,,,,,,경기도 화성시 효행구 봉담읍 상리 11-3,"경기도 화성시 효행구 봉담읍 샘마을1길 26, 201호",18316,대양인력,2026-03-04 08:04:27,U,2026-03-06 02:40:00,,195548.970306942,412907.075488639,개인,유료,,대양인력_경기도화성시효행구봉담읍상리11-3
151,유료직업소개소,11_50_02_P,4671000,2022467026714500002,2022-02-28,,1,영업/정상,20,영업중,,,,,063 443 2525,,,전북특별자치도 군산시 대명동 388-27,전북특별자치도 군산시 해망로 15-1 (대명동),54038,금강직업소개소,2026-03-05 10:37:34,U,2026-03-07 02:40:00,,175029.911304512,275219.007634748,개인,유료,,금강직업소개소_전북특별자치도군산시대명동388-27
70,유료직업소개소,11_50_02_P,3050000,2022305018614500003,2022-02-21,,1,영업/정상,20,영업중,,,,,0222333272,,,서울특별시 동대문구 신설동 18 302호,"서울특별시 동대문구 한빛로 30, 진성빌딩 302호 (신설동)",02580,닥터맘,2026-03-04 19:27:29,U,2026-03-06 02:40:00,,202243.651095431,452851.610793402,개인,유료,,닥터맘_서울특별시동대문구신설동18302호
20,유료직업소개소,11_50_02_P,3830000,2022384003314500001,2022-01-03,,3,폐업,40,폐업,2026-03-03,,,,,,,경기도 안양시 만안구 안양동 504-6,"경기도 안양시 만안구 안양로 143, 3층 (안양동)",14092,안양인력 안양점,2026-03-03 14:32:39,U,2026-03-05 02:40:00,,,,개인,유료,,안양인력안양점_경기도안양시만안구안양동504-6
29,유료직업소개소,11_50_02_P,3990000,2026399054114500003,2021-12-07,,1,영업/정상,20,영업중,,,,,,,,경기도 남양주시 진건읍 용정리 794-5,"경기도 남양주시 진건읍 사릉로 407, 1층",12138,제이인력,2026-03-03 13:31:43,U,2026-03-05 02:40:00,,215742.546046293,461542.062150839,개인,유료,,제이인력_경기도남양주시진건읍용정리794-5
78,유료직업소개소,11_50_02_P,3130000,2021313022314500020,2021-10-27,,1,영업/정상,20,영업중,,,,,,,,서울특별시 마포구 상수동 331-15 SDC빌딩,"서울특별시 마포구 와우산로 20, SDC빌딩 2층 (상수동)",04075,에스디에이치알 주식회사,2026-03-04 17:32:06,U,2026-03-06 02:40:00,,193139.339254566,449317.271666111,법인,유료,,에스디에이치알주식회사_서울특별시마포구상수동331-15SDC빌딩
155,유료직업소개소,11_50_02_P,3940000,2021395005214500003,2021-03-30,,1,영업/정상,20,영업중,,,,,,,,경기도 고양시 덕양구 원흥동 631 KB중앙타워,"경기도 고양시 덕양구 원흥3로 16, KB중앙타워 402(B02,B06)호 (원흥동)",10564,((경기))감동케어 해피베이비 고양파주점,2026-03-05 13:42:47,U,2026-03-07 02:40:00,,188884.098561575,460769.671245045,개인,유료,,((경기))감동케어해피베이비고양파주점_경기도고양시덕양구원흥동631KB중앙타워
44,유료직업소개소,11_50_02_P,4400000,2020440029714500005,2020-11-23,,1,영업/정상,20,영업중,,,,,,,,충청북도 제천시 교동 46-8,충청북도 제천시 명륜로 185 (교동),27168,제천인력,2026-03-03 10:12:11,U,2026-03-05 02:40:00,,308403.620992562,404986.86560625,개인,유료,,제천인력_충청북도제천시교동46-8
77,유료직업소개소,11_50_02_P,4860000,2020486012014500001,2020-08-03,,1,영업/정상,20,영업중,,,,,,,,전라남도 곡성군 곡성읍 읍내리 647-2,전라남도 곡성군 곡성읍 낙동원로 36,57533,형제인력,2026-03-04 17:59:09,U,2026-03-06 02:40:00,,227239.145451819,198388.855375758,개인,유료,,형제인력_전라남도곡성군곡성읍읍내리647-2
90,유료직업소개소,11_50_02_P,3930000,2020556002914500010,2020-07-23,,1,영업/정상,20,영업중,,,,,031 364 8740,,,경기도 안산시 단원구 신길동 1623 모리아 오피스텔,"경기도 안산시 단원구 중앙대로 421, 모리아 오피스텔 307-1호 (신길동)",15402,주식회사 에스엠케이,2026-03-04 15:08:54,U,2026-03-06 02:40:00,,181022.224075507,425347.954335905,법인,유료,,주식회사에스엠케이_경기도안산시단원구신길동1623모리아오피스텔
